"","year","countryname","Group","TotalSub"
"414",2020,"Denmark","Fossil-based electricity",2227.50148973824
"415",2020,"Denmark","Natural gas",212.917572064798
"416",2020,"Denmark","Petroleum",1442.0111397052
"417",2020,"Finland","Coal",499.396936511618
"418",2020,"Finland","Fossil-based electricity",1365.46692360471
"419",2020,"Finland","Natural gas",2.36837767586011
"420",2020,"Finland","Petroleum",53.318949625382
"421",2020,"France","Coal",1492.86925671868
"422",2020,"France","Fossil-based electricity",0
"423",2020,"France","Natural gas",80.4521927570143
"424",2020,"France","Petroleum",12013.961866339
"425",2020,"Germany","Coal",16887.1475123525
"426",2020,"Germany","Fossil-based electricity",0
"427",2020,"Germany","Natural gas",76.1008509406487
"428",2020,"Germany","Petroleum",45040.1549611093
"429",2020,"India","Coal",124854.696104206
"430",2020,"India","Fossil-based electricity",21991.7031149702
"431",2020,"India","Natural gas",7844.240563095
"432",2020,"India","Petroleum",51214.1826019515
"433",2020,"Indonesia","Coal",27998.5319449799
"434",2020,"Indonesia","Fossil-based electricity",14899.1269544751
"435",2020,"Indonesia","Natural gas",6866.67910677063
"436",2020,"Indonesia","Petroleum",52382.2181236866
"437",2020,"Ireland","Coal",823.841036206403
"438",2020,"Ireland","Fossil-based electricity",0
"439",2020,"Ireland","Natural gas",25.8913328328734
"440",2020,"Ireland","Petroleum",2481.41673108834
"441",2020,"Italy","Coal",927.03787474379
"442",2020,"Italy","Fossil-based electricity",0
"443",2020,"Italy","Natural gas",11.1892455981862
"444",2020,"Italy","Petroleum",12982.2169127436
"445",2020,"Japan","Coal",38309.9995616913
"446",2020,"Japan","Fossil-based electricity",25654.5221790973
"447",2020,"Japan","Natural gas",12657.2490437805
"448",2020,"Japan","Petroleum",114274.848162749
"449",2020,"Luxembourg","Coal",9.6442369715362
"450",2020,"Luxembourg","Fossil-based electricity",340.139302962816
"451",2020,"Luxembourg","Natural gas",53.9298470958437
"452",2020,"Luxembourg","Petroleum",2197.68162520593
"453",2020,"Mexico","Coal",2434.54754022456
"454",2020,"Mexico","Fossil-based electricity",3210.85389417859
"455",2020,"Mexico","Natural gas",10941.1634977745
"456",2020,"Mexico","Petroleum",39200.0487733403
"457",2020,"Russian Federation","Coal",93533.9360795193
"458",2020,"Russian Federation","Fossil-based electricity",28338.515283412
"459",2020,"Russian Federation","Natural gas",60546.8953391704
"460",2020,"Russian Federation","Petroleum",132770.463823728
"461",2020,"South Africa","Coal",38095.2440298714
"462",2020,"South Africa","Fossil-based electricity",4459.48434745106
"463",2020,"South Africa","Natural gas",0.80942964046621
"464",2020,"South Africa","Petroleum",4973.5001588482
"465",2020,"Spain","Coal",1209.97993799293
"466",2020,"Spain","Fossil-based electricity",225.597133967474
"467",2020,"Spain","Natural gas",0
"468",2020,"Spain","Petroleum",9705.1242284378
"469",2020,"Turkiye","Coal",17784.2102148391
"470",2020,"Turkiye","Fossil-based electricity",3591.32176685406
"471",2020,"Turkiye","Natural gas",4313.6935549399
"472",2020,"Turkiye","Petroleum",14750.7213302056
"473",2020,"United Kingdom","Coal",2011.37630256645
"474",2020,"United Kingdom","Fossil-based electricity",0
"475",2020,"United Kingdom","Natural gas",4143.11698302272
"476",2020,"United Kingdom","Petroleum",18920.5094702942
"477",2020,"United States","Coal",108372.588622868
